Date,ticker,target,prediccion,prob_compra
2023-01-31,A,0,0,0.38500518
2023-01-31,AAPL,2,2,0.51600623
2023-01-31,ABBV,2,0,0.40322182
2023-01-31,ABT,0,0,0.4180894
2023-01-31,ACGL,2,2,0.45141417
2023-01-31,ACN,0,0,0.4019694
2023-01-31,ADBE,0,2,0.45948505
2023-01-31,ADI,2,0,0.39916998
2023-01-31,ADM,1,0,0.4168515
2023-01-31,ADP,1,0,0.41217288
2023-01-31,AEE,0,0,0.42259377
2023-01-31,AES,0,0,0.38018337
2023-01-31,AFL,0,0,0.3789212
2023-01-31,AIG,0,0,0.40127215
2023-01-31,AKAM,0,0,0.40249386
2023-01-31,ALB,0,2,0.5422222
2023-01-31,ALGN,2,2,0.5507925
2023-01-31,ALL,2,0,0.41301224
2023-01-31,ALLE,0,0,0.3682464
2023-01-31,AMCR,0,0,0.39423835
2023-01-31,AMD,2,2,0.5028111
2023-01-31,AME,1,0,0.38031867
2023-01-31,AMGN,0,0,0.4137857
2023-01-31,AMP,1,0,0.41671023
2023-01-31,AMT,0,0,0.42074248
2023-01-31,AMZN,0,2,0.5419652
2023-01-31,AON,0,0,0.42002958
2023-01-31,AOS,2,2,0.46603477
2023-01-31,APA,0,0,0.4051291
2023-01-31,APD,0,2,0.47174105
2023-01-31,APH,1,0,0.3890193
2023-01-31,APO,2,2,0.45917434
2023-01-31,APTV,2,2,0.52460533
2023-01-31,ARE,0,0,0.40333164
2023-01-31,AVB,0,2,0.46639964
2023-01-31,AXON,2,2,0.5682885
2023-01-31,AXP,2,2,0.5163855
2023-01-31,AZO,2,2,0.5388001
2023-01-31,BA,1,2,0.5413421
2023-01-31,BAX,0,0,0.41890946
2023-01-31,BBY,0,0,0.3538504
2023-01-31,BF-B,2,0,0.40161088
2023-01-31,BG,2,0,0.4031334
2023-01-31,BKNG,2,2,0.5135711
2023-01-31,BKR,2,0,0.39580527
2023-01-31,GOOGL,0,2,0.52558047
2023-01-31,LNT,0,0,0.40751383
2023-01-31,MMM,1,0,0.41547185
2023-01-31,MO,2,0,0.40743878
2023-01-31,T,0,2,0.43088752
2023-02-28,A,0,0,0.41409028
2023-02-28,AAPL,2,0,0.4193773
2023-02-28,ABBV,2,2,0.47612688
2023-02-28,ABT,0,0,0.42207152
