Ticker,Nombre,Sector
MMM,3M,Industrials
AOS,A. O. Smith,Industrials
ALLE,Allegion,Industrials
AME,Ametek,Industrials
ADP,Automatic Data Processing,Industrials
AXON,Axon Enterprise,Industrials
BA,Boeing,Industrials
AFL,Aflac,Financials
ALL,Allstate,Financials
AXP,American Express,Financials
AIG,American International Group,Financials
AMP,Ameriprise Financial,Financials
AON,Aon plc,Financials
APO,Apollo Global Management,Financials
ACGL,Arch Capital Group,Financials
ACN,Accenture,Information Technology
ADBE,Adobe Inc.,Information Technology
AMD,Advanced Micro Devices,Information Technology
AKAM,Akamai Technologies,Information Technology
APH,Amphenol,Information Technology
ADI,Analog Devices,Information Technology
AAPL,Apple Inc.,Information Technology
ABT,Abbott Laboratories,Health Care
ABBV,AbbVie,Health Care
A,Agilent Technologies,Health Care
ALGN,Align Technology,Health Care
AMGN,Amgen,Health Care
BAX,Baxter International,Health Care
AMZN,Amazon,Consumer Discretionary
APTV,Aptiv,Consumer Discretionary
AZO,AutoZone,Consumer Discretionary
BBY,Best Buy,Consumer Discretionary
BKNG,Booking Holdings,Consumer Discretionary
MO,Altria,Consumer Staples
ADM,Archer Daniels Midland,Consumer Staples
BF-B,Brown–Forman,Consumer Staples
BG,Bunge Global,Consumer Staples
AES,AES Corporation,Utilities
LNT,Alliant Energy,Utilities
AEE,Ameren,Utilities
ARE,Alexandria Real Estate Equities,Real Estate
AMT,American Tower,Real Estate
AVB,AvalonBay Communities,Real Estate
APD,Air Products,Materials
ALB,Albemarle Corporation,Materials
AMCR,Amcor,Materials
GOOGL,Alphabet Inc. (Class A),Communication Services
T,AT&T,Communication Services
APA,APA Corporation,Energy
BKR,Baker Hughes,Energy
